category,chunk,count
Hardware,you,9985
Hardware,we,3913
Hardware,access,1310
Hardware,issue,1307
Hardware,which,1032
Hardware,thanks,990
Hardware,issues,872
Hardware,problem,830
Hardware,engineer,708
Hardware,she,608
Access,you,1681
Access,confluence,760
Access,access,683
Access,he,523
Access,users,521
Access,which,412
Access,thanks,402
Access,we,377
Access,password,361
Access,she,340
Miscellaneous,you,2960
Miscellaneous,we,836
Miscellaneous,thanks,498
Miscellaneous,ticket,391
Miscellaneous,he,374
Miscellaneous,change,362
Miscellaneous,thank,345
Miscellaneous,approval,326
Miscellaneous,issue,319
Miscellaneous,she,312
HR Support,you,4357
HR Support,access,1455
HR Support,error,1225
HR Support,leaver,913
HR Support,he,735
HR Support,she,644
HR Support,date,641
HR Support,thanks,625
HR Support,we,611
HR Support,thank,555
Purchase,administrator,1307
Purchase,item,1115
Purchase,consideration,1101
Purchase,mandatory receipts section order,1094
Purchase,allocation,609
Purchase,installation,492
Purchase,device,327
Purchase,video please explorer kind,274
Purchase,receive item,270
Purchase,id,267
Administrative rights,you,1648
Administrative rights,we,340
Administrative rights,windows,325
Administrative rights,upgrade,263
Administrative rights,issues,253
Administrative rights,issue,175
Administrative rights,outlook,158
Administrative rights,problem,139
Administrative rights,error,119
Administrative rights,everyone,116
Storage,you,612
Storage,access,560
Storage,decline,295
Storage,folder,264
Storage,your mailbox,242
Storage,mailbox,225
Storage,decline requests,215
Storage,thanks,153
Storage,permissions,149
Storage,which,145
Internal Project,code,425
Internal Project,you,229
Internal Project,codes,168
Internal Project,kind regards,150
Internal Project,thanks,138
Internal Project,which,112
Internal Project,details,108
Internal Project,thank,100
Internal Project,setup,97
Internal Project,client,86
